// General information: 
//  MT Manager version: 2020.5.0 
//  XDA version: 2020.5.0 build 5678 rev 108182 built on 2021-02-04
// Device information: 
//  DeviceId: 077822CD
//  ProductCode: MTi-G-710-2A8G4
//  Firmware Version: 1.7.2
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: General(1.19)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
36625	31484574	-2.552999	0.928847	9.436652	0.035405	0.013776	0.018522	0.004637	0.012186	0.004686	-0.178665	0.247862	-1.465135	-0.006382	0.002322	0.023592	1.000000	0.000006	0.000015	0.000006	-0.969530	-0.072330	-0.120587	0.200597	5.464054	15.238808	-22.647806	0.890439	-0.371526	-0.262843	0.406414	0.909058	0.091873	0.204806	-0.188630	0.960455
36626	31484599	-2.566824	0.904077	9.436568	0.013047	-0.003627	0.019798	0.003307	0.011148	0.002731				-0.006417	0.002260	0.023592	1.000000	0.000004	0.000014	0.000003	-0.969528	-0.072335	-0.120594	0.200598	5.464495	15.239754	-22.647785	0.890435	-0.371524	-0.262859	0.406417	0.909056	0.091880	0.204818	-0.188643	0.960450
36627	31484624	-2.557203	0.879270	9.443140	0.013040	-0.030924	0.021302	-0.002190	0.010075	0.002500				-0.006393	0.002198	0.023608	1.000000	-0.000003	0.000013	0.000003	-0.969528	-0.072333	-0.120601	0.200598	5.464136	15.240550	-22.647813	0.890432	-0.371523	-0.262872	0.406417	0.909057	0.091874	0.204832	-0.188643	0.960446
36628	31484649	-2.575186	0.855827	9.459015	-0.009185	-0.048605	0.039122	0.001854	0.008014	-0.003113				-0.006438	0.002140	0.023648	1.000000	0.000002	0.000010	-0.000004	-0.969525	-0.072335	-0.120605	0.200605	5.464131	15.241129	-22.648699	0.890424	-0.371536	-0.262882	0.406432	0.909050	0.091873	0.204839	-0.188650	0.960444
36629	31484674	-2.536629	0.842041	9.457660	0.019516	-0.075487	0.026426	0.004108	0.011636	0.001609	-0.178230	0.248811	-1.465627	-0.006341	0.002105	0.023644	1.000000	0.000005	0.000015	0.000002	-0.969524	-0.072341	-0.120613	0.200607	5.464645	15.242159	-22.648835	0.890418	-0.371536	-0.262899	0.406437	0.909047	0.091882	0.204850	-0.188665	0.960438
36630	31484699	-2.539233	0.904075	9.432585	0.037255	-0.013243	0.008729	-0.000770	0.007440	0.000194				-0.006348	0.002260	0.023582	1.000000	-0.000001	0.000009	0.000000	-0.969522	-0.072340	-0.120617	0.200610	5.464390	15.242611	-22.649241	0.890414	-0.371542	-0.262907	0.406444	0.909045	0.091877	0.204858	-0.188665	0.960437
36631	31484724	-2.547433	0.950903	9.426088	0.047696	0.033462	0.008947	0.003284	0.007832	0.001104				-0.006368	0.002377	0.023565	1.000000	0.000004	0.000010	0.000001	-0.969521	-0.072345	-0.120621	0.200613	5.464753	15.243106	-22.649507	0.890410	-0.371545	-0.262915	0.406450	0.909041	0.091883	0.204862	-0.188675	0.960434
36632	31484749	-2.574883	0.997724	9.419575	0.040948	0.087248	0.014213	0.006962	0.007570	0.000943				-0.006437	0.002494	0.023549	1.000000	0.000009	0.000009	0.000001	-0.969520	-0.072353	-0.120623	0.200617	5.465635	15.243566	-22.649801	0.890406	-0.371549	-0.262923	0.406458	0.909036	0.091898	0.204862	-0.188693	0.960430
36633	31484774	-2.602721	0.905319	9.471134	-0.010594	0.003761	0.062556	0.001685	0.009292	0.001717	-0.176354	0.248776	-1.465651	-0.006507	0.002263	0.023678	1.000000	0.000002	0.000012	0.000002	-0.969518	-0.072356	-0.120628	0.200618	5.465798	15.244261	-22.649956	0.890402	-0.371550	-0.262935	0.406462	0.909034	0.091900	0.204871	-0.188701	0.960427
36634	31484799	-2.561496	0.822702	9.480199	-0.005669	-0.088185	0.052831	-0.001940	0.005421	0.000501				-0.006404	0.002057	0.023701	1.000000	-0.000002	0.000007	0.000001	-0.969518	-0.072353	-0.120630	0.200621	5.465380	15.244421	-22.650345	0.890399	-0.371556	-0.262937	0.406467	0.909032	0.091893	0.204875	-0.188697	0.960427
