// General information: 
//  MT Manager version: 2020.5.0 
//  XDA version: 2020.5.0 build 5678 rev 108182 built on 2021-02-04
// Device information: 
//  DeviceId: 077822CD
//  ProductCode: MTi-G-710-2A8G4
//  Firmware Version: 1.7.2
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: General(1.19)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
34147	28211274	-2.383653	0.709003	9.503821	0.011987	0.017539	0.021927	0.003386	0.011843	0.006373	-0.212489	-0.491498	-0.440709	-0.005959	0.001772	0.023760	1.000000	0.000004	0.000015	0.000008	-0.078390	0.118475	-0.046820	-0.988750	4.374295	13.982462	171.470584	-0.959637	0.143922	-0.241625	-0.166110	-0.983326	0.074012	-0.226944	0.111161	0.967543
34148	28211299	-2.385004	0.709122	9.478537	0.019028	0.014497	-0.002201	0.002877	0.009942	0.010265				-0.005962	0.001773	0.023696	1.000000	0.000004	0.000012	0.000013	-0.078381	0.118481	-0.046825	-0.988750	4.374931	13.983154	171.471682	-0.959637	0.143904	-0.241637	-0.166095	-0.983328	0.074022	-0.226956	0.111169	0.967539
34149	28211324	-2.376824	0.662287	9.489027	0.016462	0.063009	0.002504	0.001943	0.010426	0.012895				-0.005942	0.001656	0.023723	1.000000	0.000002	0.000013	0.000016	-0.078369	0.118488	-0.046829	-0.988750	4.375529	13.983886	171.473172	-0.959638	0.143878	-0.241649	-0.166073	-0.983331	0.074032	-0.226969	0.111175	0.967536
34150	28211349	-2.368478	0.696671	9.491820	0.002264	0.030958	0.005734	0.007057	0.003758	0.012061				-0.005921	0.001741	0.023730	1.000000	0.000009	0.000005	0.000015	-0.078360	0.118485	-0.046838	-0.988750	4.376811	13.983675	171.474465	-0.959642	0.143857	-0.241645	-0.166055	-0.983332	0.074054	-0.226965	0.111192	0.967535
34151	28211374	-2.383555	0.766920	9.474742	0.008777	-0.042076	-0.001939	0.004236	0.006656	0.006890	-0.212505	-0.490537	-0.440700	-0.005959	0.001917	0.023687	1.000000	0.000005	0.000008	0.000009	-0.078355	0.118487	-0.046844	-0.988750	4.377513	13.983935	171.475029	-0.959642	0.143847	-0.241650	-0.166049	-0.983332	0.074066	-0.226968	0.111202	0.967533
34152	28211399	-2.390295	0.805544	9.454921	0.013346	-0.083052	-0.016625	0.005506	0.009012	0.011729				-0.005975	0.002014	0.023637	1.000000	0.000007	0.000011	0.000015	-0.078345	0.118492	-0.046852	-0.988750	4.378575	13.984478	171.476332	-0.959643	0.143825	-0.241659	-0.166031	-0.983334	0.074083	-0.226976	0.111217	0.967529
34153	28211424	-2.393291	0.720040	9.495861	0.021024	0.005523	0.017374	0.010423	0.010717	0.011830				-0.005983	0.001800	0.023740	1.000000	0.000013	0.000013	0.000015	-0.078336	0.118498	-0.046866	-0.988749	4.380350	13.985263	171.477669	-0.959643	0.143802	-0.241672	-0.166016	-0.983334	0.074113	-0.226987	0.111244	0.967524
34154	28211449	-2.379596	0.684221	9.511721	0.010244	0.044546	0.026754	0.003965	0.006938	0.012536				-0.005949	0.001710	0.023779	1.000000	0.000005	0.000009	0.000016	-0.078325	0.118500	-0.046873	-0.988750	4.381215	13.985501	171.479067	-0.959646	0.143778	-0.241676	-0.165996	-0.983336	0.074128	-0.226991	0.111254	0.967521
34155	28211474	-2.375579	0.686790	9.559607	-0.004982	0.048354	0.072314	0.010207	0.007106	0.015725	-0.212036	-0.490546	-0.440706	-0.005939	0.001717	0.023899	1.000000	0.000013	0.000009	0.000020	-0.078311	0.118501	-0.046887	-0.988750	4.383088	13.985728	171.480937	-0.959650	0.143747	-0.241680	-0.165972	-0.983338	0.074159	-0.226993	0.111279	0.967518
34156	28211499	-2.314694	0.729733	9.486632	-0.054047	0.006855	-0.009821	0.004864	0.011282	0.014929				-0.005786	0.001824	0.023717	1.000000	0.000006	0.000014	0.000019	-0.078297	0.118509	-0.046895	-0.988750	4.384178	13.986560	171.482736	-0.959651	0.143716	-0.241694	-0.165946	-0.983341	0.074177	-0.227007	0.111293	0.967513
