PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z
34147	28211274	-2.383653	0.709003	9.503821	0.003386	0.011843	0.006373	-0.005959	0.001772	0.023760
34148	28211299	-2.385004	0.709122	9.478537	0.002877	0.009942	0.010265	-0.005962	0.001773	0.023696
34149	28211324	-2.376824	0.662287	9.489027	0.001943	0.010426	0.012895	-0.005942	0.001656	0.023723
34150	28211349	-2.368478	0.696671	9.491820	0.007057	0.003758	0.012061	-0.005921	0.001741	0.023730
34151	28211374	-2.383555	0.766920	9.474742	0.004236	0.006656	0.006890	-0.005959	0.001917	0.023687
34152	28211399	-2.390295	0.805544	9.454921	0.005506	0.009012	0.011729	-0.005975	0.002014	0.023637
34153	28211424	-2.393291	0.720040	9.495861	0.010423	0.010717	0.011830	-0.005983	0.001800	0.023740
34154	28211449	-2.379596	0.684221	9.511721	0.003965	0.006938	0.012536	-0.005949	0.001710	0.023779
34155	28211474	-2.375579	0.686790	9.559607	0.010207	0.007106	0.015725	-0.005939	0.001717	0.023899
34156	28211499	-2.314694	0.729733	9.486632	0.004864	0.011282	0.014929	-0.005786	0.001824	0.023717
34157	28211524	-2.373810	0.727144	9.436058	0.008398	0.015974	0.015704	-0.005934	0.001817	0.023590
34158	28211549	-2.456749	0.704850	9.515738	0.011031	0.010711	0.015788	-0.006142	0.001762	0.023789
34159	28211574	-2.448426	0.765356	9.529232	0.013804	0.007595	0.015122	-0.006121	0.001913	0.023823
34160	28211599	-2.462421	0.740289	9.607614	0.019379	0.005656	0.017112	-0.006156	0.001850	0.024019
34161	28211624	-2.480615	0.697331	9.688598	0.020464	0.005727	0.017560	-0.006201	0.001743	0.024222
34162	28211649	-2.340663	0.802804	9.441640	0.016634	0.007878	0.020863	-0.005851	0.002006	0.023604
34163	28211674	-2.333546	0.726318	9.300396	0.011985	0.009507	0.023460	-0.005834	0.001815	0.023251
34164	28211699	-2.389202	0.575810	9.434210	0.016278	0.002560	0.021236	-0.005973	0.001439	0.023586
34165	28211724	-2.382500	0.642766	9.554147	0.022893	0.002037	0.028634	-0.005956	0.001606	0.023885
34166	28211749	-2.332794	0.751412	9.573149	0.024959	0.002512	0.026460	-0.005832	0.001878	0.023933
34167	28211774	-2.331187	0.803937	9.502822	0.021774	0.006883	0.026180	-0.005828	0.002009	0.023757
34168	28211799	-2.406852	0.812370	9.465570	0.021526	0.010173	0.026360	-0.006017	0.002030	0.023664
34169	28211824	-2.464852	0.764116	9.487992	0.020126	0.007536	0.027916	-0.006162	0.001909	0.023720
34170	28211849	-2.481564	0.703485	9.519705	0.023125	0.002131	0.026812	-0.006204	0.001758	0.023799
34171	28211874	-2.387978	0.638710	9.538161	0.025262	-0.000598	0.026457	-0.005970	0.001596	0.023845
34172	28211899	-2.348024	0.616731	9.523481	0.030990	0.004099	0.031400	-0.005870	0.001541	0.023809
34173	28211924	-2.390749	0.677165	9.560896	0.034320	0.003965	0.027281	-0.005977	0.001692	0.023902
34174	28211949	-2.379549	0.719991	9.507835	0.030966	0.006600	0.033407	-0.005949	0.001799	0.023770
34175	28211974	-2.408468	0.682920	9.491748	0.036119	0.005332	0.025913	-0.006021	0.001706	0.023729
34176	28211999	-2.494236	0.619274	9.579270	0.040853	-0.000124	0.034049	-0.006236	0.001547	0.023948
34177	28212024	-2.484556	0.664634	9.600704	0.042015	-0.003238	0.037389	-0.006212	0.001660	0.024002
34178	28212049	-2.289595	0.734304	9.366947	0.041260	0.001355	0.034817	-0.005724	0.001834	0.023417
34179	28212074	-2.329628	0.778133	9.414954	0.045152	0.000870	0.036605	-0.005824	0.001944	0.023538
34180	28212099	-2.424884	0.795710	9.504089	0.044645	0.002147	0.037472	-0.006062	0.001988	0.023760
34181	28212124	-2.274513	0.772613	9.421629	0.041893	0.002456	0.036138	-0.005686	0.001930	0.023554
34182	28212149	-2.292344	0.763118	9.380348	0.045705	0.005162	0.035538	-0.005731	0.001906	0.023451
34183	28212174	-2.393220	0.808037	9.524091	0.042550	0.012895	0.036006	-0.005983	0.002019	0.023810
34184	28212199	-2.364268	0.761397	9.486708	0.044200	0.010882	0.032943	-0.005910	0.001902	0.023717
34185	28212224	-2.360141	0.707755	9.466591	0.045601	0.011693	0.028309	-0.005900	0.001768	0.023667
34186	28212249	-2.351875	0.738004	9.477323	0.047438	0.009516	0.030899	-0.005879	0.001843	0.023693
34187	28212274	-2.361510	0.768223	9.493381	0.048372	0.010331	0.030465	-0.005904	0.001919	0.023734
34188	28212299	-2.384902	0.744957	9.461375	0.047070	0.012626	0.031456	-0.005962	0.001861	0.023654
34189	28212324	-2.357362	0.749029	9.481360	0.053567	0.014906	0.031821	-0.005893	0.001871	0.023704
34190	28212349	-2.334014	0.709048	9.487883	0.057952	0.013687	0.031105	-0.005835	0.001771	0.023720
34191	28212374	-2.360346	0.671830	9.514341	0.060478	0.012074	0.033636	-0.005901	0.001678	0.023786
34192	28212399	-2.364338	0.737909	9.503924	0.061677	0.013371	0.035527	-0.005911	0.001843	0.023760
34193	28212424	-2.366961	0.794417	9.482827	0.061928	0.014806	0.038105	-0.005917	0.001984	0.023707
34194	28212449	-2.370998	0.780854	9.438881	0.061478	0.014995	0.038099	-0.005927	0.001950	0.023597
34195	28212474	-2.391606	0.853674	9.456409	0.068453	0.014982	0.037903	-0.005979	0.002132	0.023641
34196	28212499	-2.438621	0.886395	9.541622	0.057492	0.011383	0.037754	-0.006096	0.002214	0.023854
34197	28212524	-2.407012	0.830001	9.538781	0.066140	0.013012	0.037193	-0.006017	0.002073	0.023847
34198	28212549	-2.347772	0.823077	9.538795	0.064728	0.017501	0.036491	-0.005869	0.002055	0.023847
34199	28212574	-2.382098	0.812272	9.486873	0.057714	0.020182	0.037500	-0.005955	0.002029	0.023717
34200	28212599	-2.386209	0.852128	9.506953	0.055265	0.016174	0.032146	-0.005965	0.002128	0.023768
34201	28212624	-2.397225	0.838470	9.486946	0.053096	0.014375	0.034267	-0.005993	0.002094	0.023718
34202	28212649	-2.380614	0.839904	9.465675	0.056793	0.016448	0.033604	-0.005951	0.002098	0.023664
34203	28212674	-2.315902	0.830198	9.478988	0.048438	0.012964	0.028519	-0.005789	0.002074	0.023698
34204	28212699	-2.329677	0.800029	9.448289	0.051849	0.019419	0.032622	-0.005824	0.001998	0.023621
34205	28212724	-2.360093	0.820505	9.504198	0.049059	0.019801	0.032535	-0.005900	0.002050	0.023761
34206	28212749	-2.383529	0.810853	9.508140	0.050303	0.018437	0.034617	-0.005958	0.002025	0.023771
34207	28212774	-2.384815	0.826085	9.482920	0.051753	0.024068	0.030355	-0.005961	0.002063	0.023708
34208	28212799	-2.406835	0.868674	9.497682	0.048320	0.019120	0.033720	-0.006017	0.002170	0.023744
34209	28212824	-2.390293	0.853571	9.484335	0.047110	0.018202	0.031514	-0.005975	0.002132	0.023711
34210	28212849	-2.383355	0.860533	9.465756	0.044231	0.017442	0.027350	-0.005958	0.002150	0.023665
34211	28212874	-2.408172	0.864639	9.475056	0.042339	0.015369	0.024197	-0.006020	0.002160	0.023688
34212	28212899	-2.388919	0.839850	9.476317	0.040826	0.017214	0.028579	-0.005972	0.002098	0.023691
