PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
09146	14737651	-2.697450	0.093335	9.468620	-0.003552	-0.008516	0.003615	39.978645495	116.338927956	46.132955
09147	14737676	-2.685000	0.111296	9.458040	-0.003684	-0.008345	0.010185	39.978645496	116.338927954	46.132869
09148	14737701	-2.662898	0.111363	9.439425	-0.004338	-0.008386	0.007617	39.978645496	116.338927953	46.132784
09149	14737726	-2.666961	0.129278	9.424852	0.001073	-0.008646	0.003901	39.978643426	116.338924012	46.133511
09150	14737751	-2.658778	0.096243	9.428734	0.000213	-0.009046	0.006214	39.978643425	116.338924012	46.133421
09151	14737776	-2.649094	0.119609	9.439463	-0.001009	-0.010918	0.007270	39.978643424	116.338924013	46.133332
09152	14737801	-2.643547	0.130606	9.435513	0.001596	-0.009722	0.003469	39.978643424	116.338924014	46.133242
09153	14737826	-2.669782	0.129262	9.434155	-0.003886	-0.007969	0.002110	39.978643423	116.338924015	46.133246
09154	14737851	-2.678090	0.125033	9.458090	-0.003888	-0.009149	-0.000392	39.978643422	116.338924015	46.133156
09155	14737876	-2.686400	0.104390	9.468664	-0.002101	-0.010952	0.005133	39.978643421	116.338924016	46.133067
09156	14737901	-2.691924	0.101597	9.467313	0.000672	-0.015159	0.003336	39.978643420	116.338924017	46.132978
09157	14737926	-2.673994	0.125026	9.462075	-0.001070	-0.015683	0.005393	39.978643420	116.338924017	46.132889
09158	14737951	-2.624245	0.112762	9.424826	-0.002566	-0.015031	0.002441	39.978643419	116.338924018	46.132800
09159	14737976	-2.644971	0.074263	9.411371	-0.005326	-0.014395	0.006737	39.978643418	116.338924019	46.132711
09160	14738001	-2.613206	0.099103	9.396832	-0.004479	-0.014076	0.002865	39.978643417	116.338924020	46.132622
09161	14738026	-2.599407	0.107314	9.404862	-0.002156	-0.011051	0.006640	39.978643416	116.338924020	46.133310
09162	14738051	-2.592583	0.098994	9.426113	-0.003034	-0.013514	0.002564	39.978643415	116.338924021	46.133220
09163	14738076	-2.600885	0.097579	9.434084	-0.002383	-0.008515	-0.000377	39.978643415	116.338924022	46.133131
09164	14738101	-2.615972	0.126545	9.423532	-0.003019	-0.009489	-0.002383	39.978643414	116.338924023	46.133042
09165	14738126	-2.633930	0.122387	9.426160	-0.007324	-0.011009	0.001211	39.978643413	116.338924023	46.132952
09166	14738151	-2.622801	0.154134	9.408975	-0.010492	-0.008649	-0.001691	39.978643412	116.338924024	46.132863
09167	14738176	-2.622730	0.151468	9.378366	-0.002821	-0.012158	0.001062	39.978643411	116.338924025	46.132773
09168	14738201	-2.661407	0.108724	9.396836	-0.017394	-0.009173	-0.003248	39.978643411	116.338924025	46.132683
09169	14738226	-2.657436	0.096155	9.459325	-0.010881	-0.011215	-0.000380	39.978643410	116.338924026	46.129318
09170	14738251	-2.709996	0.088979	9.527139	0.006290	-0.012065	-0.000687	39.978643409	116.338924027	46.129226
09171	14738276	-2.663077	0.112432	9.508608	-0.010760	-0.011507	-0.002757	39.978643408	116.338924028	46.129134
09172	14738301	-2.625731	0.074152	9.441984	-0.022750	-0.015847	0.001159	39.978643407	116.338924028	46.129043
09173	14738326	-2.664361	0.006880	9.403151	-0.016186	-0.012366	-0.001299	39.978643406	116.338924029	46.128950
09174	14738351	-2.665649	0.055045	9.405969	-0.003242	-0.011837	-0.002949	39.978643406	116.338924030	46.128858
09175	14738376	-2.675273	0.118243	9.435447	-0.004941	-0.020058	-0.004083	39.978643405	116.338924031	46.128766
09176	14738401	-2.665606	0.184174	9.462281	-0.014296	-0.017552	-0.006098	39.978643404	116.338924031	46.128675
09177	14738426	-2.591066	0.170626	9.415719	-0.018251	-0.020017	-0.006871	39.978643403	116.338924032	46.133497
09178	14738451	-2.495981	0.130762	9.389024	-0.021827	-0.017716	0.002173	39.978643402	116.338924033	46.133409
09179	14738476	-2.554297	-0.080030	9.440185	-0.033477	-0.021948	0.021477	39.978643401	116.338924034	46.133320
09180	14738501	-2.675466	0.035539	9.469775	-0.033736	-0.023682	0.023849	39.978643401	116.338924034	46.133231
