PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
57460	35207799	-2.109900	1.501034	9.452526	-0.002313	-0.002238	0.009821	39.979033508	116.338918670	45.402268
57461	35207824	-2.069899	1.462648	9.413853	-0.003782	0.001633	0.002402	39.979033508	116.338918672	45.402159
57462	35207849	-2.110020	1.428094	9.449622	-0.002879	0.000681	0.002408	39.979033508	116.338918674	45.402051
57463	35207874	-2.147074	1.498343	9.433877	-0.000730	0.003071	0.005938	39.979033344	116.338918491	45.423983
57464	35207899	-2.173351	1.489979	9.468421	-0.002855	0.003131	0.001465	39.979033344	116.338918494	45.423889
57465	35207924	-2.236976	1.462151	9.542782	0.003068	0.001994	0.002326	39.979033344	116.338918496	45.423795
57466	35207949	-2.156797	1.477581	9.471048	-0.003640	-0.002360	0.002471	39.979033344	116.338918499	45.423702
57467	35207974	-2.104407	1.430943	9.419052	-0.002779	-0.001793	0.001974	39.979033344	116.338918501	45.423607
57468	35207999	-2.155645	1.379786	9.492008	0.000270	-0.001539	0.002436	39.979033344	116.338918504	45.423514
57469	35208024	-2.201247	1.409838	9.547939	-0.003271	-0.002991	0.006734	39.979033344	116.338918507	45.423421
57470	35208049	-2.148662	1.451283	9.508219	-0.002454	-0.005916	0.001541	39.979033344	116.338918509	45.423328
57471	35208074	-2.125097	1.451559	9.436390	-0.002867	-0.003698	0.001787	39.979033344	116.338918512	45.423628
57472	35208099	-2.152589	1.492837	9.437850	0.001749	0.001968	0.004390	39.979033344	116.338918514	45.423536
57473	35208124	-2.182981	1.553163	9.499222	-0.001736	0.003271	0.006430	39.979033345	116.338918517	45.423444
57474	35208149	-2.167888	1.483014	9.485688	-0.006019	-0.001238	0.001131	39.979033345	116.338918520	45.423352
57475	35208174	-2.155416	1.447403	9.436360	0.001299	0.000054	0.007519	39.979033345	116.338918522	45.423261
