PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
40995	36410524	-2.048824	0.987281	9.487299	-0.003171	0.007018	0.001472	39.979428167	116.338894856	46.865147
40996	36410549	-2.127771	0.963378	9.632170	-0.002791	0.010380	0.005920	39.979428167	116.338894855	46.865153
40997	36410574	-2.141644	0.923387	9.644011	-0.006053	0.010192	0.002131	39.979427342	116.338893914	46.882174
40998	36410599	-2.199609	0.884827	9.665137	-0.000732	0.011294	0.004108	39.979427341	116.338893914	46.882139
40999	36410624	-2.157960	0.952582	9.570938	0.003675	0.003052	0.007544	39.979427341	116.338893913	46.882105
41000	36410649	-2.030386	1.025157	9.298545	-0.002037	0.007991	0.011075	39.979427340	116.338893912	46.882071
41001	36410674	-2.091259	1.004255	9.370273	0.002350	0.008276	0.005651	39.979427339	116.338893912	46.882729
41002	36410699	-2.134493	1.000667	9.596386	0.002654	0.006831	0.006151	39.979427338	116.338893911	46.882694
41003	36410724	-2.230250	0.962665	9.821007	-0.001223	0.003698	0.004116	39.979427338	116.338893910	46.882660
41004	36410749	-2.197076	0.885899	9.742280	-0.002255	0.006570	0.001596	39.979427337	116.338893909	46.882627
41005	36410774	-1.988930	1.010190	9.243987	-0.003842	0.009923	0.005108	39.979427336	116.338893909	46.882591
41006	36410799	-2.032834	1.046184	9.193532	-0.004230	0.009781	0.004157	39.979427335	116.338893908	46.882557
41007	36410824	-2.152144	1.007942	9.487306	-0.004232	0.009187	0.006849	39.979427335	116.338893907	46.882521
41008	36410849	-2.300693	0.995363	9.915520	0.002676	0.004534	0.001194	39.979427334	116.338893906	46.882486
41009	36410874	-2.202715	0.915869	9.812882	0.002879	0.008897	0.005212	39.979427333	116.338893906	46.883158
41010	36410899	-2.030473	0.963273	9.293015	-0.003442	0.012769	0.005038	39.979427332	116.338893905	46.883127
41011	36410924	-2.122797	0.923426	9.274212	-0.003637	0.009412	0.005223	39.979427332	116.338893904	46.883094
41012	36410949	-2.296088	0.954908	9.699891	0.000520	0.002401	0.006193	39.979427331	116.338893903	46.883061
