PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z
01428	9722546	-1.993393	0.836111	9.571671	-0.003228	0.004016	0.001526	-0.004983	0.002090	0.023929
01429	9722571	-1.994707	0.855405	9.567749	-0.004749	-0.000216	0.001712	-0.004987	0.002139	0.023919
01430	9722596	-2.025053	0.858095	9.575711	-0.000992	0.001085	0.003329	-0.005063	0.002145	0.023939
01431	9722621	-2.005775	0.866312	9.589029	-0.002596	0.003052	0.005420	-0.005014	0.002166	0.023973
01432	9722646	-2.002982	0.848468	9.575694	-0.000775	0.005385	0.006767	-0.005007	0.002121	0.023939
01433	9722671	-2.018200	0.856689	9.584997	-0.002861	0.004454	0.000824	-0.005045	0.002142	0.023963
01434	9722696	-2.019534	0.845764	9.579666	-0.000295	0.004324	0.000528	-0.005049	0.002114	0.023949
01435	9722721	-2.009897	0.866287	9.586373	-0.000204	0.003582	0.002828	-0.005025	0.002166	0.023966
01436	9722746	-2.008502	0.873214	9.579760	0.001228	0.008947	0.001177	-0.005021	0.002183	0.023949
01437	9722771	-1.986489	0.859457	9.578392	-0.003617	0.002730	0.005157	-0.004966	0.002149	0.023946
01438	9722796	-2.005726	0.851314	9.557098	-0.004441	0.006534	0.006229	-0.005014	0.002128	0.023893
01439	9722821	-2.005694	0.862276	9.559805	-0.003658	0.003520	0.002798	-0.005014	0.002156	0.023900
01442	9722846	-2.007129	0.858061	9.582365	-0.002819	-0.001197	0.000836	-0.005018	0.002145	0.023956
01443	9722871	-2.000268	0.860824	9.589024	0.003251	0.000404	-0.002946	-0.005001	0.002152	0.023973
01444	9722896	-1.997503	0.855342	9.574396	-0.001892	0.005457	0.003451	-0.004994	0.002138	0.023936
01445	9722921	-2.014087	0.837395	9.587605	-0.000192	0.006527	0.002314	-0.005035	0.002093	0.023969
01446	9722946	-2.009911	0.847062	9.590298	-0.005554	0.004545	0.006159	-0.005025	0.002118	0.023976
01447	9722971	-2.000245	0.853998	9.567736	-0.003193	0.001833	0.001335	-0.005001	0.002135	0.023919
01448	9722996	-1.997519	0.851213	9.582343	-0.006360	0.004263	0.008573	-0.004994	0.002128	0.023956
01449	9723021	-2.013991	0.847181	9.561078	-0.000842	0.005908	0.007336	-0.005035	0.002118	0.023903
01450	9723046	-1.991937	0.838937	9.554415	-0.004669	0.002415	0.001583	-0.004980	0.002097	0.023886
01451	9723071	-1.950670	0.848545	9.558454	-0.001764	0.007117	0.006568	-0.004876	0.002121	0.023896
01452	9723096	-1.967076	0.878845	9.542608	-0.002310	0.003599	0.003320	-0.004918	0.002197	0.023857
01453	9723121	-2.000186	0.870525	9.563815	-0.002615	0.001301	0.000387	-0.005000	0.002176	0.023910
01454	9723146	-2.001624	0.860817	9.578401	0.000560	0.004661	-0.002456	-0.005004	0.002152	0.023946
01455	9723171	-1.979587	0.869094	9.582416	0.000603	0.005594	0.003846	-0.004949	0.002173	0.023956
01456	9723196	-1.996103	0.869128	9.571779	-0.002642	0.001107	0.004144	-0.004990	0.002173	0.023929
01457	9723221	-2.009856	0.855364	9.571735	0.003026	0.001711	0.002660	-0.005025	0.002138	0.023929
01458	9723246	-2.023601	0.869188	9.558482	-0.005133	0.008813	0.004183	-0.005059	0.002173	0.023896
01459	9723271	-2.011236	0.867747	9.571761	-0.002982	0.006117	0.004329	-0.005028	0.002169	0.023929
01460	9723296	-1.993354	0.858100	9.575729	-0.002016	0.003746	0.000770	-0.004983	0.002145	0.023939
01461	9723321	-2.000290	0.833350	9.579632	0.001916	0.002679	0.002460	-0.005001	0.002083	0.023949
01462	9723346	-2.030582	0.859413	9.590315	-0.002417	0.001179	0.000954	-0.005076	0.002149	0.023976
01463	9723371	-1.991970	0.843036	9.562401	-0.006245	0.003397	-0.001234	-0.004980	0.002108	0.023906
01464	9723396	-1.979534	0.854063	9.559792	-0.002436	0.005789	-0.000253	-0.004949	0.002135	0.023900
01465	9723421	-2.012700	0.836067	9.583620	-0.002341	0.004071	0.001150	-0.005032	0.002090	0.023959
01466	9723446	-2.011244	0.847145	9.566392	-0.002217	0.005050	0.001726	-0.005028	0.002118	0.023916
01467	9723471	-2.014029	0.849876	9.574367	0.003332	0.000559	0.006613	-0.005035	0.002125	0.023936
01468	9723496	-2.012559	0.856834	9.541187	-0.000842	0.003983	0.003779	-0.005031	0.002142	0.023853
01469	9723521	-2.002910	0.869218	9.549200	-0.001384	0.007856	0.000706	-0.005007	0.002173	0.023873
01470	9723546	-2.007004	0.874743	9.534600	-0.003794	0.005503	-0.002235	-0.005017	0.002187	0.023837
01471	9723571	-1.990588	0.849878	9.567737	-0.004777	0.002381	0.003366	-0.004976	0.002125	0.023919
01472	9723596	-2.012636	0.852632	9.577027	-0.001951	0.004280	0.001787	-0.005031	0.002132	0.023943
01473	9723621	-1.997508	0.854012	9.571723	-0.001067	0.005917	0.003831	-0.004994	0.002135	0.023929
01474	9723646	-1.998866	0.880072	9.583765	0.000013	0.002378	0.003590	-0.004997	0.002200	0.023959
01475	9723671	-2.015310	0.885657	9.561198	0.000070	0.000314	-0.001125	-0.005038	0.002214	0.023903
01476	9723696	-1.997460	0.851282	9.561098	-0.002490	0.005680	0.000958	-0.004993	0.002128	0.023903
01477	9723721	-1.998866	0.858177	9.561108	-0.002922	0.001790	0.002739	-0.004997	0.002146	0.023903
01478	9723746	-1.998891	0.851226	9.577029	-0.000539	0.003161	0.000341	-0.004997	0.002128	0.023943
