PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude
41265	20354374	9.412167	-0.946583	2.471179	-0.012220	-0.042854	0.018227	-21.536464	-74.614749	118.076776	39.979543006	116.338914346	50.337779
41266	20354399	9.414935	-0.920486	2.480581	-0.010991	-0.043260	0.012772	-21.551829	-74.620625	118.091038	39.979543002	116.338914349	50.337593
41267	20354424	9.399678	-0.938472	2.513747	-0.011750	-0.034948	0.021429	-21.569916	-74.624936	118.108010	39.979542998	116.338914352	50.337408
41268	20354449	9.407916	-0.926186	2.529768	-0.009993	-0.036687	0.015666	-21.585303	-74.629781	118.122441	39.979542994	116.338914356	50.337222
41269	20354474	9.412057	-0.923424	2.531084	-0.014754	-0.028691	0.016250	-21.600129	-74.633529	118.135584	39.979542990	116.338914359	50.337545
41270	20354499	9.405112	-0.924874	2.553688	-0.018069	-0.025719	0.019488	-21.616436	-74.636710	118.149770	39.979542986	116.338914363	50.337359
41271	20354524	9.400945	-0.924919	2.568320	-0.020233	-0.031172	0.015078	-21.631970	-74.640848	118.162832	39.979542982	116.338914366	50.337174
41272	20354549	9.391339	-0.886433	2.573750	-0.031750	-0.029209	0.014040	-21.648280	-74.644779	118.174989	39.979542978	116.338914370	50.336988
41273	20354574	9.405139	-0.876774	2.572447	-0.037065	-0.027485	0.018395	-21.667139	-74.648250	118.188999	39.979542974	116.338914373	50.336802
41274	20354599	9.407802	-0.900267	2.593673	-0.037569	-0.025767	0.014812	-21.684008	-74.651680	118.200870	39.979542970	116.338914377	50.336617
41275	20354624	9.417415	-0.898940	2.606996	-0.036909	-0.024661	0.012617	-21.699512	-74.655078	118.211423	39.979542967	116.338914380	50.336431
41276	20354649	9.417363	-0.942939	2.600209	-0.043724	-0.022157	0.014193	-21.716278	-74.658059	118.222273	39.979542963	116.338914383	50.336245
41277	20354674	9.436681	-0.951166	2.588201	-0.049892	-0.025719	0.012705	-21.733899	-74.661592	118.233094	39.979542959	116.338914387	50.329999
41278	20354699	9.428392	-0.944300	2.600217	-0.051586	-0.024696	0.009172	-21.749858	-74.665175	118.241938	39.979542955	116.338914390	50.329807
41279	20354724	9.436692	-0.936067	2.594891	-0.054351	-0.022148	0.009841	-21.766049	-74.668383	118.250614	39.979542951	116.338914394	50.329616
41280	20354749	9.455963	-0.951160	2.589571	-0.058980	-0.012299	0.007094	-21.779667	-74.670426	118.255932	39.979542946	116.338914397	50.329424
41281	20354774	9.444977	-0.949726	2.577570	-0.055301	-0.013347	0.005366	-21.792125	-74.672700	118.260595	39.979542942	116.338914401	50.329233
41282	20354799	9.447688	-0.985529	2.573496	-0.056110	-0.007275	0.004600	-21.803151	-74.674207	118.263652	39.979542938	116.338914404	50.329043
41283	20354824	9.460159	-0.990905	2.542879	-0.049423	-0.005773	0.003959	-21.812617	-74.675549	118.266086	39.979542934	116.338914408	50.328852
41284	20354849	9.460165	-1.001893	2.537498	-0.052385	0.002323	0.007010	-21.822417	-74.675651	118.268425	39.979542930	116.338914411	50.328662
41285	20354874	9.458766	-1.010134	2.538825	-0.039321	0.010853	0.002708	-21.826599	-74.674848	118.266881	39.979542926	116.338914414	50.322593
41286	20354899	9.460137	-1.022534	2.536115	-0.026302	0.016718	0.001927	-21.827399	-74.673307	118.263762	39.979542922	116.338914418	50.322397
41287	20354924	9.456037	-1.040306	2.509471	-0.018163	0.018793	0.001924	-21.826628	-74.671490	118.260224	39.979542918	116.338914421	50.322201
41288	20354949	9.447789	-1.019658	2.510879	-0.011267	0.020725	-0.003865	-21.821687	-74.669724	118.253386	39.979542914	116.338914425	50.322006
41289	20354974	9.420268	-0.996297	2.509604	0.000536	0.025566	-0.000954	-21.815529	-74.667160	118.247038	39.979542910	116.338914428	50.321810
41290	20354999	9.431244	-1.016952	2.517497	0.009759	0.029756	-0.003836	-21.805841	-74.664191	118.238401	39.979542906	116.338914432	50.321614
41291	20355024	9.395482	-1.001741	2.502889	0.018880	0.032075	-0.000437	-21.796049	-74.660733	118.231010	39.979542902	116.338914435	50.321419
41292	20355049	9.387230	-0.978336	2.502993	0.028253	0.035392	-0.002374	-21.783337	-74.656936	118.221983	39.979542898	116.338914439	50.321223
41293	20355074	9.409262	-0.977044	2.512293	0.034432	0.035840	-0.005655	-21.768068	-74.653253	118.211222	39.979542893	116.338914442	50.324181
41294	20355099	9.374843	-0.950859	2.516354	0.045908	0.028998	-0.004619	-21.752986	-74.650425	118.202361	39.979542889	116.338914446	50.323989
41295	20355124	9.365208	-0.944011	2.519028	0.050798	0.032938	-0.003263	-21.737105	-74.647000	118.193396	39.979542885	116.338914449	50.323796
41296	20355149	9.365297	-0.905431	2.507166	0.050503	0.033642	0.000878	-21.723141	-74.643261	118.186376	39.979542881	116.338914453	50.323602
41297	20355174	9.370786	-0.898589	2.519188	0.045498	0.024992	-0.001413	-21.710459	-74.640794	118.179941	39.979542877	116.338914456	50.323408
41298	20355199	9.372143	-0.895872	2.523185	0.044774	0.030960	-0.000483	-21.697183	-74.637483	118.172783	39.979542873	116.338914460	50.323214
41299	20355224	9.369401	-0.890360	2.527179	0.045401	0.030968	-0.000668	-21.683731	-74.634181	118.165535	39.979542869	116.338914463	50.323020
41300	20355249	9.363897	-0.857393	2.541918	0.039290	0.029528	0.000291	-21.671900	-74.631019	118.159060	39.979542865	116.338914467	50.322825
