PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude
04513	6603374	9.537235	-1.547598	1.564963	0.008202	0.019769	-0.003235	-45.448009	-77.062282	-136.214205	39.979145902	116.338928754	47.216657
04514	6603399	9.533114	-1.532503	1.571649	0.007296	0.019777	0.001352	-45.439417	-77.060964	-136.221969	39.979145900	116.338928756	47.216401
04515	6603424	9.526191	-1.549012	1.572928	0.008950	0.021310	-0.001967	-45.428458	-77.059829	-136.231919	39.979145899	116.338928757	47.216145
04516	6603449	9.495893	-1.542134	1.572932	0.004038	0.020012	-0.000247	-45.419533	-77.058650	-136.240504	39.979145897	116.338928758	47.215888
04517	6603474	9.490360	-1.546244	1.574265	0.006822	0.025447	-0.005069	-45.405688	-77.057415	-136.253728	39.979145895	116.338928759	47.217325
04518	6603499	9.491782	-1.521477	1.571662	0.000662	0.020525	-0.008194	-45.393544	-77.056994	-136.266111	39.979145894	116.338928760	47.217070
04519	6603524	9.462876	-1.506323	1.570369	-0.009017	0.023675	-0.006013	-45.382345	-77.056033	-136.278948	39.979145892	116.338928762	47.216814
04520	6603549	9.454574	-1.514609	1.578302	-0.012475	0.021246	-0.007549	-45.372048	-77.055472	-136.291368	39.979145890	116.338928763	47.216557
04521	6603574	9.450488	-1.471985	1.582466	-0.016008	0.024571	-0.006133	-45.361404	-77.054432	-136.304663	39.979145888	116.338928764	47.216299
04522	6603599	9.422950	-1.471930	1.575774	-0.019039	0.024205	-0.005278	-45.351732	-77.053340	-136.317406	39.979145887	116.338928765	47.216041
04523	6603624	9.398079	-1.481662	1.595661	-0.021712	0.018419	-0.010452	-45.342743	-77.053359	-136.329841	39.979145885	116.338928767	47.215783
04524	6603649	9.410456	-1.500933	1.594309	-0.038087	0.015523	-0.002529	-45.340854	-77.052861	-136.337399	39.979145883	116.338928768	47.215523
04525	6603674	9.396700	-1.485751	1.598322	-0.038718	0.011663	-0.001653	-45.341150	-77.052662	-136.342806	39.979145882	116.338928769	47.214002
04526	6603699	9.388444	-1.488505	1.595631	-0.044431	0.010815	-0.003645	-45.341767	-77.052752	-136.348724	39.979145880	116.338928770	47.213739
04527	6603724	9.387060	-1.494019	1.588970	-0.038321	0.008081	-0.000010	-45.344312	-77.052747	-136.351765	39.979145878	116.338928772	47.213475
04528	6603749	9.396720	-1.478903	1.593052	-0.043365	0.006178	-0.000362	-45.348269	-77.052969	-136.354099	39.979145876	116.338928773	47.213210
04529	6603774	9.415934	-1.521585	1.600874	-0.043260	0.005017	0.002533	-45.353994	-77.053013	-136.354604	39.979145875	116.338928774	47.212945
04530	6603799	9.440739	-1.524341	1.596895	-0.044535	0.005472	0.003025	-45.359915	-77.052961	-136.355095	39.979145873	116.338928775	47.212678
04531	6603824	9.451820	-1.510496	1.579675	-0.049259	0.002077	0.000413	-45.366874	-77.053518	-136.355215	39.979145871	116.338928777	47.212411
04532	6603849	9.451783	-1.538034	1.578228	-0.050087	0.001410	-0.001666	-45.373338	-77.054353	-136.355965	39.979145870	116.338928778	47.212143
04533	6603874	9.460043	-1.562740	1.571518	-0.047803	0.004835	-0.001276	-45.378126	-77.054804	-136.358097	39.979145868	116.338928779	47.216645
04534	6603899	9.437998	-1.536671	1.584883	-0.045526	0.007033	0.001256	-45.382722	-77.054775	-136.360094	39.979145866	116.338928781	47.216381
04535	6603924	9.462746	-1.564185	1.590134	-0.056052	0.005302	-0.000460	-45.388842	-77.055096	-136.362072	39.979145864	116.338928782	47.216116
04536	6603949	9.488905	-1.542292	1.612821	-0.061512	0.009748	-0.001068	-45.393506	-77.055032	-136.366348	39.979145863	116.338928783	47.215850
04537	6603974	9.484750	-1.553295	1.615410	-0.058769	0.009057	-0.000104	-45.398506	-77.054938	-136.369876	39.979145861	116.338928784	47.215585
04538	6603999	9.498460	-1.556127	1.642034	-0.062306	0.006981	0.004649	-45.407013	-77.054569	-136.370326	39.979145859	116.338928786	47.215318
04539	6604024	9.492969	-1.569842	1.623365	-0.062609	0.007088	-0.000760	-45.413149	-77.054741	-136.373252	39.979145857	116.338928787	47.215052
04540	6604049	9.486046	-1.557520	1.644678	-0.065534	0.003272	-0.001538	-45.421058	-77.055376	-136.374789	39.979145856	116.338928788	47.214785
04541	6604074	9.532965	-1.513498	1.640876	-0.063780	0.001249	-0.001523	-45.429620	-77.056213	-136.375398	39.979145854	116.338928790	47.217250
04542	6604099	9.550873	-1.519008	1.640881	-0.064351	0.004788	0.005582	-45.439801	-77.055969	-136.374430	39.979145852	116.338928791	47.216985
04543	6604124	9.554986	-1.525915	1.646164	-0.060400	0.002919	0.004105	-45.449600	-77.056064	-136.373273	39.979145850	116.338928792	47.216721
04544	6604149	9.543912	-1.565782	1.643361	-0.059663	0.003383	0.009519	-45.461454	-77.055559	-136.369900	39.979145849	116.338928794	47.216457
04545	6604174	9.543924	-1.589112	1.618033	-0.055996	0.005777	0.012876	-45.473186	-77.054471	-136.366113	39.979145847	116.338928795	47.216193
04546	6604199	9.579771	-1.606918	1.604688	-0.054896	0.007679	0.004773	-45.480374	-77.054020	-136.366827	39.979145845	116.338928797	47.215929
04547	6604224	9.554978	-1.595932	1.602049	-0.049509	0.011864	0.005190	-45.485112	-77.053105	-136.369262	39.979145844	116.338928798	47.215665
04548	6604249	9.575631	-1.600068	1.610040	-0.044693	0.014411	0.002396	-45.486809	-77.052220	-136.374110	39.979145842	116.338928799	47.215401
04549	6604274	9.582510	-1.584994	1.622042	-0.039487	0.019208	-0.002787	-45.483366	-77.051383	-136.383467	39.979145840	116.338928801	47.214868
04550	6604299	9.568780	-1.571205	1.614093	-0.030407	0.020859	-0.005862	-45.476546	-77.050694	-136.394955	39.979145838	116.338928802	47.214605
04551	6604324	9.532905	-1.586354	1.619375	-0.034149	0.022696	-0.002308	-45.471000	-77.049457	-136.405685	39.979145837	116.338928804	47.214341
04552	6604349	9.545233	-1.596071	1.647260	-0.029108	0.021045	-0.001894	-45.465648	-77.048343	-136.415476	39.979145835	116.338928805	47.214078
04553	6604374	9.539754	-1.582293	1.640660	-0.020342	0.018890	-0.005153	-45.458574	-77.047778	-136.425745	39.979145833	116.338928806	47.213815
04554	6604399	9.521805	-1.586480	1.653921	-0.010771	0.020756	-0.002815	-45.450323	-77.046787	-136.435815	39.979145831	116.338928808	47.213551
04555	6604424	9.524545	-1.590601	1.656581	-0.009936	0.011720	-0.004435	-45.445256	-77.046869	-136.442496	39.979145830	116.338928809	47.213288
04556	6604449	9.519025	-1.603018	1.652532	-0.007826	0.008726	-0.001462	-45.442514	-77.046949	-136.446480	39.979145828	116.338928811	47.213025
04557	6604474	9.524565	-1.593334	1.648586	-0.004131	0.006597	-0.003193	-45.439431	-77.047419	-136.450271	39.979145826	116.338928812	47.212548
04558	6604499	9.542450	-1.593384	1.657889	-0.000380	0.002331	-0.003852	-45.437416	-77.048385	-136.452416	39.979145825	116.338928813	47.212284
04559	6604524	9.520365	-1.603030	1.664505	0.000760	-0.001864	-0.004473	-45.436827	-77.049835	-136.452929	39.979145823	116.338928815	47.212021
04560	6604549	9.527272	-1.601649	1.661833	0.006051	0.000671	-0.003864	-45.434621	-77.050970	-136.454324	39.979145821	116.338928816	47.211757
04561	6604574	9.554830	-1.612618	1.656518	0.004503	-0.004436	-0.002550	-45.435478	-77.052483	-136.452803	39.979145819	116.338928818	47.211494
04562	6604599	9.538302	-1.607117	1.651205	0.002877	-0.004843	0.000267	-45.437981	-77.053749	-136.449833	39.979145818	116.338928819	47.211231
