PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude
24455	5485874	9.514981	-1.628268	1.550878	-0.021794	-0.012699	0.000457	-45.918677	-76.508183	44.326912	39.979009266	116.339143704	39.087756
24456	5485899	9.537105	-1.617187	1.522969	-0.017810	-0.014092	-0.003406	-45.926523	-76.510753	44.332280	39.979009267	116.339143704	39.087762
24457	5485924	9.501247	-1.624073	1.532280	-0.018869	-0.013869	-0.000903	-45.935467	-76.513044	44.338622	39.979009268	116.339143704	39.087768
24458	5485949	9.516518	-1.628029	1.487012	-0.026172	-0.015445	0.002882	-45.947709	-76.515101	44.347278	39.979009269	116.339143704	39.087773
24459	5485974	9.501303	-1.643211	1.497617	-0.030594	-0.011513	-0.001311	-45.957157	-76.517198	44.352411	39.979009270	116.339143704	39.087778
24460	5485999	9.530227	-1.623989	1.514957	-0.029360	-0.013703	0.004427	-45.969755	-76.518922	44.360964	39.979009271	116.339143704	39.087784
24461	5486024	9.546753	-1.643276	1.505639	-0.030731	-0.015065	-0.001873	-45.980521	-76.521431	44.367431	39.979009272	116.339143704	39.087789
24462	5486049	9.523277	-1.651580	1.522856	-0.033772	-0.011273	0.005208	-45.993036	-76.522832	44.375249	39.979009273	116.339143704	39.087794
24463	5486074	9.556395	-1.643285	1.509598	-0.033560	-0.013457	0.003389	-46.005706	-76.524637	44.383258	39.979009274	116.339143704	39.088495
24464	5486099	9.559159	-1.632258	1.510986	-0.036471	-0.013563	0.004436	-46.019277	-76.526345	44.391764	39.979009275	116.339143704	39.088501
24465	5486124	9.549531	-1.614395	1.513698	-0.035606	-0.010777	0.000098	-46.029727	-76.528222	44.397188	39.979009276	116.339143704	39.088507
24466	5486149	9.550882	-1.614430	1.526995	-0.035439	-0.011890	0.001989	-46.041419	-76.530014	44.403915	39.979009277	116.339143704	39.088512
24467	5486174	9.553638	-1.611700	1.528334	-0.037834	-0.009607	0.001656	-46.052335	-76.531614	44.409490	39.979009278	116.339143704	39.088518
24468	5486199	9.564652	-1.635057	1.520285	-0.042771	-0.013390	0.002688	-46.066019	-76.533483	44.417184	39.979009279	116.339143704	39.088524
24469	5486224	9.548179	-1.615720	1.501715	-0.049745	-0.014561	0.008547	-46.083641	-76.534863	44.427900	39.979009280	116.339143704	39.088530
24470	5486249	9.559236	-1.590957	1.511098	-0.048205	-0.011380	0.008997	-46.099860	-76.535881	44.437400	39.979009281	116.339143704	39.088536
24471	5486274	9.566094	-1.615713	1.500399	-0.054538	-0.009172	0.007689	-46.115493	-76.536813	44.445366	39.979009282	116.339143704	39.091158
24472	5486299	9.574257	-1.622738	1.541602	-0.053117	-0.012945	0.010030	-46.133523	-76.537878	44.456005	39.979009283	116.339143705	39.091166
24473	5486324	9.578383	-1.622735	1.544270	-0.054774	-0.010389	0.006995	-46.149431	-76.539002	44.464218	39.979009283	116.339143705	39.091175
24474	5486349	9.554873	-1.637974	1.570792	-0.056596	-0.015147	0.006920	-46.167625	-76.540605	44.474513	39.979009284	116.339143705	39.091184
24475	5486374	9.560314	-1.647721	1.592059	-0.053608	-0.017111	0.003362	-46.184768	-76.542769	44.484168	39.979009285	116.339143705	39.091193
24476	5486399	9.546538	-1.654560	1.589348	-0.055343	-0.017680	0.007311	-46.204046	-76.544582	44.495762	39.979009286	116.339143705	39.091203
24477	5486424	9.539565	-1.675284	1.610551	-0.054556	-0.015135	0.007817	-46.222326	-76.546089	44.506445	39.979009287	116.339143705	39.091212
24478	5486449	9.560146	-1.679541	1.641131	-0.058983	-0.020497	0.013386	-46.245867	-76.547550	44.521887	39.979009288	116.339143705	39.091222
24479	5486474	9.522885	-1.675490	1.665087	-0.058049	-0.023691	0.012136	-46.270144	-76.549455	44.538222	39.979009289	116.339143705	39.089912
24480	5486499	9.558683	-1.686527	1.670361	-0.053121	-0.027025	0.010292	-46.294402	-76.551879	44.555263	39.979009290	116.339143705	39.089921
24481	5486524	9.575226	-1.685160	1.669063	-0.049631	-0.029989	0.011708	-46.320036	-76.554449	44.574233	39.979009291	116.339143705	39.089930
24482	5486549	9.587647	-1.646681	1.686449	-0.045969	-0.037776	0.008914	-46.347375	-76.558076	44.595495	39.979009292	116.339143705	39.089939
24483	5486574	9.564212	-1.653564	1.686442	-0.040184	-0.040922	0.011350	-46.376271	-76.561759	44.619210	39.979009293	116.339143705	39.089949
24484	5486599	9.547670	-1.670033	1.679746	-0.033773	-0.042759	0.008066	-46.403702	-76.565962	44.642362	39.979009294	116.339143705	39.089959
24485	5486624	9.553137	-1.685221	1.688978	-0.032705	-0.042391	0.007319	-46.430528	-76.570203	44.665049	39.979009295	116.339143705	39.089970
24486	5486649	9.577966	-1.670070	1.687746	-0.027974	-0.044486	0.007613	-46.457724	-76.574618	44.688813	39.979009296	116.339143706	39.089980
24487	5486674	9.582166	-1.657613	1.665171	-0.032526	-0.043990	0.010408	-46.486529	-76.578690	44.713559	39.979009297	116.339143706	39.080906
24488	5486699	9.600228	-1.625809	1.624053	-0.033595	-0.041591	0.009455	-46.514063	-76.582623	44.736842	39.979009298	116.339143706	39.080909
24489	5486724	9.618170	-1.621658	1.610812	-0.031827	-0.039044	0.006133	-46.538877	-76.586647	44.757587	39.979009299	116.339143706	39.080912
24490	5486749	9.586507	-1.625730	1.602789	-0.031757	-0.033246	0.003736	-46.560174	-76.590348	44.774728	39.979009300	116.339143706	39.080916
24491	5486774	9.578190	-1.629904	1.617398	-0.031732	-0.025782	0.006311	-46.579284	-76.593045	44.789624	39.979009301	116.339143706	39.080919
24492	5486799	9.601630	-1.613431	1.620119	-0.026169	-0.023472	0.008367	-46.597444	-76.595299	44.804363	39.979009302	116.339143706	39.080924
24493	5486824	9.578180	-1.617565	1.626740	-0.032914	-0.022976	-0.000435	-46.612725	-76.598419	44.815147	39.979009303	116.339143706	39.080929
24494	5486849	9.574054	-1.635416	1.614724	-0.031970	-0.016093	0.005230	-46.627207	-76.600272	44.825251	39.979009304	116.339143706	39.080934
24495	5486874	9.565779	-1.646419	1.613344	-0.028121	-0.012463	0.002363	-46.638371	-76.602065	44.832509	39.979009305	116.339143706	39.074965
24496	5486899	9.561600	-1.634126	1.633325	-0.023982	-0.007105	0.000316	-46.645756	-76.603545	44.836492	39.979009306	116.339143706	39.074964
24497	5486924	9.543731	-1.631290	1.621390	-0.019871	-0.004588	0.003612	-46.652813	-76.604433	44.840743	39.979009307	116.339143706	39.074964
24498	5486949	9.549243	-1.654613	1.610637	-0.018743	-0.003242	-0.003172	-46.656320	-76.605897	44.841511	39.979009308	116.339143706	39.074964
24499	5486974	9.516133	-1.665671	1.615927	-0.013980	-0.000803	-0.005282	-46.657206	-76.607340	44.840287	39.979009309	116.339143706	39.074964
24500	5486999	9.510738	-1.644905	1.582722	-0.011195	0.000302	-0.003241	-46.658052	-76.608461	44.839431	39.979009310	116.339143705	39.074964
24501	5487024	9.501084	-1.644933	1.586718	-0.010683	0.003394	-0.004312	-46.657030	-76.609391	44.836731	39.979009311	116.339143705	39.074964
24502	5487049	9.502549	-1.661261	1.544092	-0.007179	0.005591	-0.005482	-46.654061	-76.610226	44.832545	39.979009312	116.339143705	39.074963
24503	5487074	9.509533	-1.655611	1.508219	-0.008856	0.009102	-0.008202	-46.648672	-76.610999	44.825625	39.979009313	116.339143705	39.076956
24504	5487099	9.477813	-1.680387	1.500149	-0.008188	0.006136	-0.003228	-46.646540	-76.611546	44.822150	39.979009314	116.339143705	39.076958
24505	5487124	9.464110	-1.691224	1.465523	-0.009523	0.010288	-0.009343	-46.640255	-76.612321	44.814210	39.979009315	116.339143705	39.076958
24506	5487149	9.448868	-1.703725	1.489426	-0.007021	0.011979	-0.010397	-46.632436	-76.613039	44.805062	39.979009316	116.339143705	39.076958
24507	5487174	9.460021	-1.687056	1.448231	-0.004344	0.015281	-0.002198	-46.626176	-76.612579	44.797911	39.979009317	116.339143705	39.076958
24508	5487199	9.471055	-1.706265	1.434883	-0.004582	0.018671	-0.008368	-46.615917	-76.612427	44.786614	39.979009318	116.339143705	39.076957
24509	5487224	9.469721	-1.696585	1.420293	-0.002541	0.017917	-0.008035	-46.605834	-76.612314	44.775798	39.979009319	116.339143705	39.076955
24510	5487249	9.462809	-1.702095	1.426926	-0.000048	0.016890	-0.008456	-46.595669	-76.612346	44.765265	39.979009320	116.339143705	39.076953
24511	5487274	9.462816	-1.710335	1.418924	0.007936	0.020199	-0.003047	-46.585151	-76.611489	44.755544	39.979009321	116.339143705	39.072996
24512	5487299	9.462796	-1.692532	1.437583	0.005773	0.018810	-0.006777	-46.574008	-76.611156	44.744863	39.979009322	116.339143705	39.072989
24513	5487324	9.465490	-1.685749	1.464208	0.012138	0.019698	-0.010376	-46.560078	-76.611110	44.732254	39.979009323	116.339143705	39.072982
24514	5487349	9.439273	-1.696782	1.478770	0.012964	0.021133	-0.007667	-46.546523	-76.610639	44.720152	39.979009324	116.339143705	39.072974
24515	5487374	9.473770	-1.674765	1.472229	0.019008	0.022349	-0.010638	-46.530342	-76.610358	44.706241	39.979009325	116.339143706	39.072965
24516	5487399	9.492970	-1.670776	1.505497	0.019635	0.018847	-0.011574	-46.515214	-76.610517	44.693504	39.979009326	116.339143706	39.072957
24517	5487424	9.503952	-1.650234	1.540125	0.019075	0.016837	-0.014344	-46.499895	-76.611162	44.680489	39.979009327	116.339143706	39.072948
24518	5487449	9.498358	-1.651752	1.570716	0.025831	0.013784	-0.010261	-46.486632	-76.611683	44.670582	39.979009327	116.339143706	39.072938
24519	5487474	9.492699	-1.682159	1.613152	0.023249	0.013429	-0.008899	-46.474457	-76.612097	44.661412	39.979009328	116.339143706	39.070043
24520	5487499	9.487077	-1.680956	1.658373	0.016837	0.005935	-0.009821	-46.466087	-76.613346	44.655211	39.979009329	116.339143706	39.070031
24521	5487524	9.493910	-1.683809	1.679641	0.018342	0.003795	-0.008678	-46.458908	-76.614687	44.650455	39.979009330	116.339143706	39.070018
24522	5487549	9.499293	-1.666132	1.738233	0.018732	-0.006707	-0.006841	-46.457016	-76.616873	44.651192	39.979009331	116.339143706	39.070005
24523	5487574	9.511645	-1.668978	1.759520	0.013372	-0.011626	-0.005493	-46.458599	-76.619405	44.654710	39.979009332	116.339143706	39.069993
24524	5487599	9.535021	-1.659452	1.784809	0.009282	-0.012991	-0.011876	-46.458715	-76.622734	44.656120	39.979009333	116.339143706	39.069981
24525	5487624	9.529445	-1.670500	1.804707	0.013103	-0.026502	-0.007370	-46.466056	-76.626929	44.665518	39.979009334	116.339143706	39.069969
24526	5487649	9.545972	-1.647186	1.820797	0.013240	-0.023739	-0.001016	-46.474813	-76.630191	44.676391	39.979009335	116.339143706	39.069957
24527	5487674	9.584613	-1.621031	1.812879	0.010434	-0.027813	-0.010531	-46.481808	-76.634842	44.685039	39.979009336	116.339143706	39.067119
24528	5487699	9.590135	-1.634743	1.800894	0.013991	-0.031817	-0.010626	-46.490011	-76.639898	44.695453	39.979009337	116.339143706	39.067106
24529	5487724	9.584681	-1.611300	1.787663	0.011936	-0.035810	-0.006612	-46.501929	-76.644931	44.709384	39.979009338	116.339143706	39.067092
24530	5487749	9.581974	-1.600247	1.775761	0.008717	-0.031689	-0.010918	-46.510725	-76.650003	44.719630	39.979009339	116.339143706	39.067079
24531	5487774	9.565510	-1.613881	1.741081	0.007267	-0.028707	-0.010999	-46.518397	-76.654790	44.728507	39.979009340	116.339143705	39.067067
24532	5487799	9.566963	-1.613760	1.706559	0.000070	-0.032821	-0.006966	-46.530584	-76.659563	44.740966	39.979009341	116.339143705	39.067055
