PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
60958	3146015	9.559084	-0.755845	1.584648	0.050730	-0.065492	-0.009152	-24.646260	-79.730830	162.637848
60959	3146040	9.553664	-0.709032	1.578147	0.053038	-0.062293	-0.008756	-24.652266	-79.740304	162.651665
60960	3146065	9.560603	-0.700746	1.560901	0.053412	-0.064430	-0.006403	-24.660638	-79.749916	162.667939
60961	3146090	9.544149	-0.701974	1.529015	0.055940	-0.065534	-0.003211	-24.671334	-79.759481	162.686944
60962	3146115	9.512478	-0.728040	1.510320	0.063749	-0.062700	-0.001000	-24.681516	-79.768585	162.706588
60963	3146140	9.541441	-0.743086	1.486331	0.067508	-0.061764	-0.006361	-24.687085	-79.777846	162.722065
60964	3146165	9.533143	-0.769199	1.483594	0.069344	-0.059207	-0.010154	-24.688821	-79.787001	162.733914
60965	3146190	9.541506	-0.741657	1.462396	0.068788	-0.058639	-0.006732	-24.692934	-79.795878	162.748097
60966	3146215	9.567640	-0.723840	1.485091	0.062561	-0.059587	-0.006653	-24.698251	-79.804914	162.762619
60967	3146240	9.556591	-0.719774	1.501039	0.052853	-0.069550	-0.006656	-24.708372	-79.815205	162.780586
60968	3146265	9.588321	-0.725182	1.477101	0.052537	-0.072916	-0.005196	-24.720749	-79.825846	162.800799
60969	3146290	9.584176	-0.716963	1.487779	0.049084	-0.071414	-0.003578	-24.734327	-79.836194	162.821729
60970	3146315	9.608978	-0.685383	1.497225	0.040357	-0.080000	-0.005540	-24.750565	-79.847818	162.844110
60971	3146340	9.644778	-0.677198	1.507869	0.032501	-0.085120	-0.002359	-24.772081	-79.859873	162.870689
60972	3146365	9.631047	-0.666161	1.499937	0.022437	-0.084366	0.000159	-24.796675	-79.871677	162.898931
60973	3146390	9.608990	-0.667533	1.505208	0.019208	-0.090672	-0.002716	-24.821824	-79.884472	162.927264
60974	3146415	9.589714	-0.655206	1.510584	0.017579	-0.089762	0.002471	-24.850674	-79.896876	162.959139
60975	3146440	9.610393	-0.646891	1.507967	0.008382	-0.091447	0.003922	-24.882623	-79.909367	162.992802
60976	3146465	9.648956	-0.659282	1.505273	0.002508	-0.092645	0.000450	-24.913364	-79.922219	163.024383
60977	3146490	9.657259	-0.612579	1.510764	-0.003678	-0.092490	0.001226	-24.945587	-79.935002	163.056567
60978	3146515	9.676561	-0.597439	1.512138	-0.009279	-0.094675	0.004299	-24.981612	-79.947921	163.091819
60979	3146540	9.672426	-0.576849	1.525534	-0.022651	-0.089802	0.007865	-25.020670	-79.959946	163.128183
60980	3146565	9.697215	-0.593326	1.517510	-0.027128	-0.091276	0.003393	-25.057683	-79.972428	163.161818
60981	3146590	9.712359	-0.571389	1.530851	-0.035307	-0.088204	0.006816	-25.097415	-79.984301	163.197022
60982	3146615	9.705395	-0.596176	1.545416	-0.039876	-0.084123	0.009756	-25.138562	-79.995504	163.233026
60983	3146640	9.690174	-0.601778	1.573235	-0.042504	-0.083426	0.009102	-25.179531	-80.006609	163.268436
60984	3146665	9.701161	-0.638889	1.562496	-0.038320	-0.075462	0.007479	-25.216029	-80.016777	163.299916
60985	3146690	9.712215	-0.616893	1.566559	-0.040729	-0.076492	0.006890	-25.252866	-80.027110	163.331387
60986	3146715	9.709332	-0.670590	1.579690	-0.033419	-0.074820	0.007962	-25.288849	-80.037201	163.363087
60987	3146740	9.721715	-0.682944	1.579650	-0.031185	-0.067338	0.008164	-25.322203	-80.046265	163.392408
60988	3146765	9.684572	-0.665052	1.573089	-0.025301	-0.062008	0.006300	-25.351529	-80.054749	163.418495
60989	3146790	9.672267	-0.631991	1.559886	-0.022541	-0.057004	0.003527	-25.376705	-80.062754	163.440769
60990	3146815	9.690121	-0.637527	1.575812	-0.030358	-0.054374	0.003527	-25.402029	-80.070461	163.462096
60991	3146840	9.698320	-0.665091	1.579696	-0.026131	-0.054243	-0.000434	-25.423896	-80.078349	163.480487
60992	3146865	9.709386	-0.658154	1.570447	-0.027983	-0.045136	0.001319	-25.444150	-80.084950	163.496971
60993	3146890	9.705213	-0.682944	1.570365	-0.032659	-0.044626	0.000584	-25.464374	-80.091529	163.512746
60994	3146915	9.694147	-0.693978	1.582258	-0.031675	-0.037158	-0.004108	-25.478281	-80.097474	163.522293
60995	3146940	9.691330	-0.707803	1.599491	-0.031196	-0.037019	0.000587	-25.495653	-80.103068	163.535383
60996	3146965	9.684344	-0.750475	1.616608	-0.026917	-0.038345	-0.001600	-25.511276	-80.108967	163.547321
60997	3146990	9.648434	-0.813725	1.615061	-0.025102	-0.041261	-0.003992	-25.525914	-80.115391	163.558522
60998	3147015	9.626512	-0.797091	1.581902	-0.021353	-0.039752	-0.009105	-25.535613	-80.121978	163.565299
60999	3147040	9.630649	-0.813552	1.571201	-0.019744	-0.033629	-0.009985	-25.542355	-80.127784	163.569264
61000	3147065	9.620989	-0.852019	1.555115	-0.024579	-0.036515	-0.006914	-25.553102	-80.133774	163.576591
