PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
15728	3643715	9.540558	-0.462902	1.993292	-0.005299	0.006242	0.003460	-11.874777	-77.969709	155.456095
15729	3643740	9.573647	-0.462854	1.974728	0.000674	0.006120	0.000651	-11.872839	-77.969628	155.454207
15730	3643765	9.580566	-0.461411	1.966769	-0.004944	0.003737	0.002894	-11.873511	-77.969816	155.454164
15731	3643790	9.521380	-0.461395	1.954758	-0.002393	0.006124	0.000118	-11.871661	-77.969750	155.451916
15732	3643815	9.543372	-0.455958	1.973393	-0.006081	0.001979	0.000790	-11.871391	-77.970299	155.450700
15733	3643840	9.543429	-0.410580	1.976202	-0.001860	0.005375	0.001520	-11.870490	-77.970298	155.449501
15734	3643865	9.536517	-0.413393	1.984136	-0.004344	0.003579	0.004992	-11.872478	-77.970445	155.450891
15735	3643890	9.551702	-0.409150	1.969559	-0.004159	-0.004703	0.003096	-11.874337	-77.971810	155.452177
15736	3643915	9.546183	-0.424285	1.968171	-0.000231	0.000139	0.002044	-11.874309	-77.972580	155.452066
15737	3643940	9.548920	-0.429813	1.972134	-0.004409	-0.004210	-0.002109	-11.872712	-77.974028	155.449781
15738	3643965	9.562736	-0.418782	1.964203	-0.004190	-0.007476	0.001638	-11.874000	-77.975825	155.450479
15739	3643990	9.580628	-0.424271	1.958920	-0.005664	-0.011587	0.000304	-11.875191	-77.978236	155.450861
15740	3644015	9.587479	-0.428478	1.973500	-0.003634	-0.009087	-0.003363	-11.873367	-77.980459	155.448415
15741	3644040	9.604027	-0.427038	1.966866	-0.002316	-0.013119	0.001022	-11.874764	-77.983064	155.449497
15742	3644065	9.599874	-0.435312	1.965529	-0.007212	-0.012544	-0.003833	-11.873585	-77.985732	155.447230
15743	3644090	9.614980	-0.457356	1.973443	-0.007248	-0.016582	-0.000659	-11.875060	-77.988872	155.447671
15744	3644115	9.609472	-0.460094	1.972091	-0.003441	-0.011729	-0.000696	-11.875331	-77.991387	155.447393
15745	3644140	9.587445	-0.436730	1.980113	-0.007588	-0.012206	-0.002505	-11.875033	-77.993968	155.445971
15746	3644165	9.594283	-0.461519	1.984032	-0.001575	-0.013153	-0.001314	-11.874789	-77.996647	155.445485
15747	3644190	9.588777	-0.438184	2.001387	-0.003751	-0.014243	0.002220	-11.877338	-77.999374	155.447537
15748	3644215	9.583268	-0.440922	2.000041	-0.003131	-0.013690	0.001019	-11.878969	-78.002113	155.448692
15749	3644240	9.592914	-0.440911	1.994739	-0.008653	-0.010188	0.003448	-11.882470	-78.004236	155.450999
15750	3644265	9.605224	-0.452009	2.019956	0.001596	-0.010815	-0.006877	-11.877778	-78.006751	155.446430
15751	3644290	9.579071	-0.443767	2.023940	0.000496	-0.012051	-0.003964	-11.875336	-78.009354	155.444000
